stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,P_IS_X,20260917,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11081959399786462,0.0645164382033798
DEV_EVAL,P_IS_X,20260917,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10945954016206955,0.05945544487451933
DEV_EVAL,P_IS_X,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11784387170630613,0.0711847398544848
DEV_EVAL,P_IS_X,20260917,6,AVAILABLE,path_1_to_H,raw,23100,0.1184600737978172,0.06659048114526195
DEV_EVAL,P_IS_X,20260917,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11782991438227276,0.07114698532962363
DEV_EVAL,P_IS_X,20260917,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1184151448003262,0.0665352240984485
DEV_EVAL,P_IS_X,20260917,9,AVAILABLE,terminal_H,raw,3850,0.11822773605990729,0.07811643382551524
DEV_EVAL,P_IS_X,20260917,9,AVAILABLE,path_1_to_H,raw,34650,0.11821160824066915,0.06930633460379881
DEV_EVAL,P_IS_X,20260917,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11822476461455733,0.0781026045699391
DEV_EVAL,P_IS_X,20260917,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11817775671531981,0.0692591182426646
DEV_EVAL,P_IS_X,20260917,12,AVAILABLE,terminal_H,raw,3850,0.12233224434771084,0.08039976014046003
DEV_EVAL,P_IS_X,20260917,12,AVAILABLE,path_1_to_H,raw,46200,0.11902843144547967,0.07184349770466604
DEV_EVAL,P_IS_X,20260917,12,AVAILABLE,terminal_H,clip_0_1,3850,0.12229954166263766,0.08035018936764496
DEV_EVAL,P_IS_X,20260917,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11899333982079242,0.07179649443097497
DEV_EVAL,P_FWD_X,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,P_FWD_X,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,P_FWD_X,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,P_FWD_X,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,P_FWD_X,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,P_FWD_X,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,P_FWD_X,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,P_FWD_X,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,P_FWD_X,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,P_FWD_X,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,P_FWD_X,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,P_FWD_X,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,P_FWD_X,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,P_FWD_X,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,P_FWD_X,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
DEV_EVAL,P_FWD_X,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,P_FWD_X,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,P_FWD_X,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,P_FWD_X,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,P_FWD_X,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,P_FWD_X,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,P_FWD_X,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,P_FWD_X,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,P_FWD_X,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,P_FWD_X,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,P_FWD_X,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,P_FWD_X,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,P_FWD_X,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,P_FWD_X,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,P_FWD_X,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,P_FWD_X,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
